Standard Report
wellLabel,concentration,replicate 1 intensity,replicate 2 intensity,mean replicate intensity,mean replicate calculated concentration,percent bias,within limits of quantification,upper percent difference,lower percent difference
stnd01,150.0,320230.5,360533.0,340381.75,106.24889030622357,29.16740646251762,False,41.290415342695354,69.41105958479011
stnd02,50.0,329563.6875,289662.75,309613.21875,53.99496787900199,7.98993575800398,False,25.7743138094569,32.56240844569779
stnd03,16.666666666666668,221942.078125,208220.390625,215081.234375,17.63501189082552,5.810071344953116,True,11.058959582554403,11.848142590690083
stnd04,5.555555555555555,93825.4453125,103210.7265625,98518.0859375,5.529933103510718,0.46120413680707273,True,6.043190001791921,6.42447212816859
stnd05,1.8518518518518519,37084.32421875,35439.05078125,36261.6875,1.9444111753772775,4.998203470372983,True,5.0162263851987134,5.282836810365683
stnd06,0.6172839506172839,10725.529296875,9971.8583984375,10348.69384765625,0.6131726961070632,0.6660232306557636,True,5.096574608672219,5.177613540427211
stnd07,0.205761316872428,3249.2216796875,2505.074462890625,2877.1480712890625,0.1968296094211907,4.340809821301319,True,5.720106435652303,5.540607596778037
stnd08,0.06858710562414266,871.343505859375,860.60009765625,865.9718017578125,0.06721473652081376,2.000914152653535,True,7.0634708870951375,6.440700565024349
stnd09,0.022862368541380886,302.5606689453125,313.1566162109375,307.858642578125,0.025297411387274295,10.650877407937772,True,10.19593646248506,8.572372385692958
stnd10,0.007620789513793629,136.62307739257812,91.52664184570312,114.07485961914062,0.008310883890574796,9.055418412122467,True,21.30733916173332,15.44673339943053
stnd11,0.002540263171264543,48.51689147949219,68.83990478515625,58.67839813232422,0.0025347877644256653,0.21554486561925962,False,67.73006474764166,34.4906975095209
blank,1e-10,39.332427978515625,51.856414794921875,,,,False,,

NOTE: The back-calculated concentrations of unknowns do not account for the dilution factor.
Please multiply by the dilution factor for the correct concentration.

Unknown Report
wellLabel,replicate 1 intensity,replicate 1 concentration (pg/ml),mean of rep concentration (pg/ml),stdev of rep concentration (pg/ml),within limits of quantification
unk06,11546.2294921875,0.6764164054423948,0.6764164054423948,nan,TRUE
unk60,847.713134765625,0.06592211078356897,0.06592211078356897,nan,TRUE
unk61,703.1435546875,0.055545185270717126,0.055545185270717126,nan,TRUE
unk62,601.7742309570312,0.04809506012656596,0.04809506012656596,nan,TRUE
unk63,660.5010375976562,0.052430617797895346,0.052430617797895346,nan,TRUE
unk64,804.5159912109375,0.06284875787388243,0.06284875787388243,nan,TRUE
unk65,739.7006225585938,0.058194611362356,0.058194611362356,nan,TRUE
unk66,795.2225952148438,0.062184667226058754,0.062184667226058754,nan,TRUE
unk67,875.6615600585938,0.06789922599107001,0.06789922599107001,nan,TRUE
unk68,770.6483764648438,0.06042350445565876,0.06042350445565876,nan,TRUE
unk69,706.688232421875,0.055802894072460446,0.055802894072460446,nan,TRUE
unk07,3190.879638671875,0.21572491820361878,0.21572491820361878,nan,TRUE
unk70,824.17138671875,0.06424988697324271,0.06424988697324271,nan,TRUE
unk71,719.2767333984375,0.056716689026601035,0.056716689026601035,nan,TRUE
unk72,828.3326416015625,0.06454593612934802,0.06454593612934802,nan,TRUE
unk08,791.037353515625,0.06188525274449352,0.06188525274449352,nan,TRUE
unk09,369.5124816894531,0.03027509821474405,0.03027509821474405,nan,TRUE

Plate Map Concentrations
,1,2,3,4,5,6,7,8,9,10,11,12
A,329.0635078574793,135.86793359763453,14.161320375426694,6.218417412121303,2.05628381780185,0.6764164054423948,0.21572491820361878,0.06188525274449352,0.03027509821474405,0.009620952349638475,0.002848118259909003,nan
B,65.43303176872126,79.82161450988579,18.83994257849027,5.223002039325181,1.9868672287965363,0.6331320259012664,0.21921372518970256,0.06759432339180746,0.024863051535908787,0.010458897103116111,0.001297592332240364,nan
C,121.6703654249242,39.416155586091435,18.934633274095106,6.396531366511255,2.0563376358479277,0.6841462293888961,0.22675309977018232,0.07940659110657333,0.032069349686317056,0.011811893965727332,0.004503301648722926,0.0009399620847147242
D,274.4941812191057,40.01284465890408,16.520099997431867,5.844869286618609,1.9020212806201884,0.5931551009070676,0.1740933600903049,0.06683483155871738,0.025730642534940097,0.006073097806905294,0.0036817571657784694,0.001718596146349654
E,0.3086007466536076,1.7059392494206498,0.42076754396139027,1.8340556371642953,16.132704884423703,0.616387236173487,0.024673068291482466,0.06644629032189181,0.06560351117540025,0.06356794314839152,0.06285639744027957,0.06073764045894767
F,0.2528127240639886,1.5999844377343744,0.43327919950004923,1.7730710456333696,17.46431865268982,0.6098718667445062,0.02585164600492316,0.06505123538824083,0.06333781329416568,0.06451212853401538,0.05940108544030534,0.06409051466688714
G,0.0634462418791124,0.057566173644762346,0.0645160095087245,0.06566130033936539,0.062339938020311444,0.06827939875950995,0.06561156556544873,0.06318480336684618,0.06591547274056789,0.0647452988889575,0.06745695651219408,0.06592211078356897
H,0.055545185270717126,0.04809506012656596,0.052430617797895346,0.06284875787388243,0.058194611362356,0.062184667226058754,0.06789922599107001,0.06042350445565876,0.055802894072460446,0.06424988697324271,0.056716689026601035,0.06454593612934802

Plate Map Labels
,1,2,3,4,5,6,7,8,9,10,11,12
A,unk1,unk2,unk3,unk4,unk5,unk6,unk7,unk8,unk9,unk10,unk11,unk12
B,stnd1,stnd2,stnd3,stnd4,stnd5,stnd6,stnd7,stnd8,stnd9,stnd10,stnd11,blank
C,unk13,unk14,unk15,unk16,unk17,unk18,unk19,unk20,unk21,unk22,unk23,unk24
D,stnd1,stnd2,stnd3,stnd4,stnd5,stnd6,stnd7,stnd8,stnd9,stnd10,stnd11,blank
E,unk25,unk26,unk27,unk28,unk29,unk30,unk31,unk32,unk33,unk34,unk35,unk36
F,unk37,unk38,unk39,unk40,unk41,unk42,unk43,unk44,unk45,unk46,unk47,unk48
G,unk49,unk50,unk51,unk52,unk53,unk54,unk55,unk56,unk57,unk58,unk59,unk60
H,unk61,unk62,unk63,unk64,unk65,unk66,unk67,unk68,unk69,unk70,unk71,unk72

Plate Map Intensities
,1,2,3,4,5,6,7,8,9,10,11,12
A,362570.1875,347592.1875,191821.84375,108619.328125,38426.4296875,11546.2294921875,3190.879638671875,791.037353515625,369.5124816894531,127.73359680175781,61.39556884765625,35.14007568359375
B,320230.5,329563.6875,221942.078125,93825.4453125,37084.32421875,10725.529296875,3249.2216796875,871.343505859375,302.5606689453125,136.62307739257812,48.51689147949219,39.332427978515625
C,344570.46875,288550.625,222458.609375,111139.3203125,38427.46875,11693.26171875,3375.720947265625,1040.635498046875,392.1300048828125,151.20486450195312,76.43565368652344,45.80738830566406
D,360533.0,289662.75,208220.390625,103210.7265625,35439.05078125,9971.8583984375,2505.074462890625,860.60009765625,313.1566162109375,91.52664184570312,68.83990478515625,51.856414794921875
E,4781.4443359375,31619.0390625,6782.77783203125,34117.56640625,205711.078125,10409.3125,300.247802734375,855.1109619140625,843.220947265625,814.5968627929688,804.6229858398438,775.02392578125
F,3817.153564453125,29546.568359375,7010.212890625,32929.3828125,214064.140625,10286.4775390625,314.6387939453125,835.441650390625,811.3692626953125,827.8572998046875,756.4307861328125,821.9324340820312
G,812.8897705078125,731.0064697265625,827.911865234375,844.0355224609375,797.3941650390625,881.0496215820312,843.33447265625,809.2242431640625,847.6195068359375,831.136474609375,869.3990478515625,847.713134765625
H,703.1435546875,601.7742309570312,660.5010375976562,804.5159912109375,739.7006225585938,795.2225952148438,875.6615600585938,770.6483764648438,706.688232421875,824.17138671875,719.2767333984375,828.3326416015625

Limits of Quantification 
LLOQ (pg/ml),ULOQ (pg/ml)
0.008,16.667

Limit of Detection
Calculated LOD (pg/ml)
0.004
